沙门氏菌病	食物中毒
砾石	碎石
水獭	鼬科的动物
少量的钱	款项
淋巴管造影	血管造影照片
腹鳍	鳍
育婴室	孩子的房间
核反应堆	核反应堆
锉刀	手持工具
瘿蚊科	节肢动物科
电气插头	接触
轴承	支撑
野毛扁豆	藤本植物
闭塞	突然发病
调节	管理
资本收益税	税金
汽车轮胎	轮胎
平跟皮凉鞋	凉鞋
放肆	自主权
皮质醇	皮质类固醇
出血性发热	流行性出血热
甲型肝炎	病毒性肝炎
水晶球	球状物
睡觉	蛰伏
聋	听力损伤
祈使语气	语气
中心点	更常指大而气派的建筑
海燕	海燕
藤豆	藤本植物
提恩	吉货币单位
芜菁科	节肢动物科
稀释	稀释
混乱	纷乱
吸入麻醉	全身麻醉
圆头倭犰狳	犰狳
狂暴	坏天气
倒置垂悬	吊环运动
轻而薄的织物	面纱
粪便	排泄物
黑硅石	二氧化硅
毒蛾	衣蛾
鸠形马	马
非洲大麻	灌木
威胁	状态
政治演说	竞选运动
二氧化氮	二氧化物
二氧化氮	瓦斯
进口货	货物
戟状叶	单叶
红色闪光信号	闪光信号
实时	阶段
好天气	天气条件
说明文字	标题
皮蠹科	节肢动物科
横笛	长笛
反照率	比例
四卤化碳	化学药品
多形炭角菌	菌类
大商船	舰队
步枪	火器
假金砖	立方体
扭曲	负伤
酒吧	柜台
祈愿语气	语气
长柄平锅	烹饪锅
静脉麻醉药	麻醉剂
衣料	衣料
铀235	铀
异域性	存在
阿肯色州人	美国人
马铃薯花叶病	花叶病
米拉霉素	抗瘤抗生素
盖革计数器	计数管
皮脂溢	皮肤病
甲型血友病	血友病
绣球属植物	灌木
奥古斯丁教团之修道士	奥古斯丁秩序
花荵科	海盘车单子叶植物科
致词	说话方式
天空	空气
异戊巴比妥钠	戊巴比妥
根腐病	植物病
汽车解体场	车间
菲律宾红柳安	红木
不丹货币单位	货币单位
败血症	血液病
汽笛	警报系统
高额的租金	租金
豹斑口蘑	伞菌
银白槭	槭树
哈伯制氨法	工业生产方法
匍匐柳	清明柳
连结者	仪表
驴羚	水羚
天蚕蛾属	节肢动物属
小酸模	野菠菜
大托叶猪屎豆	猪屎豆
铃铛菜	黄精
一堆	球状物
扩开螺栓	螺栓
锡石	矿质
细环柄菇	环柄菇
间歇	间隙
事故	骚动
虚脱	疾病
腹痛	苦痛
胶态凝胶	胶质
萘中毒	药品中毒
正常体温	生理状态
马车车顶行李	行李
植物性毒素	毒素
恒星年	恒星时间
恒星年	年头
红紫山马蝗	山马蝗三叶
铵	阿摩尼亚
吸附作用	自然过程
雷管	爆炸装置
役马	马
联系	相互作用
甘油三酸酯	甘油酯
装炮的甲板	甲板
恶性高热	显性遗传病
小配件	小配件
木本曼陀罗	灌木
克拉洛雪茄烟	雪茄烟
齿冠	假牙
电磁安培	电流强度
长毛象	长毛象
显影	处理
煽动者	同谋
蚊母草	婆婆纳属植物
英国薰衣草	黄香草
相对很大的距离	无穷大量
锐角	倾斜角
啤酒杯	大杯
茄参属	海盘车单子叶植物属
黑腐病	植物病
苍白菊花蚜虫	蚜虫
动产继承物	资产
拱门	门口
驼背	脊柱弯曲畸形
轮胎	箍
次要的	下等
价值	估计量
子宫套	避孕药
平静	和谐
珠蚌	蚌
可保险产权	股份
总鳍鱼	硬骨鱼
玫瑰油	香精油
小年	年
钙质层	泥土
半英里	长度度量
肠道炎	肿胀
长大衣	厚重长大衣
畸胎形成	生长
薪金	定期付款
鸡足	被子植物
龙虎草	大戟属植物
电子变换器	转换器
报酬	花费
腰带	箍
神经支配	觉醒
西红柿条文病	黄斑
边界	线
远地点	远拱点
菜刀	刀子
立法机关	聚集在一起的人
管底酵母	啤酒酵母
标准贵妇犬	髦毛狗
共有	所有权
动脉造影术	关节造影术
阿尔茨海默病	痴呆
适航行	稳固
右边	转弯
煎熬	萃取
溴化银	溴化物
年	年
经量减少	经血
秋葵子	海盘车单子叶植物科
首要地位	领先
雨水	淡水
鲱斗	容积单位
檐口	骨架
社会地位	身份
基线	规范
静载	负载量
氪	惰性气体
氪	化学元素
贿金	花费
壮丽环苞菇	伞菌
外面的门	门口
死亡座位	车辆座位
布鲁塞尔地毯	铺饰用布料
马克沁机枪	机枪
解法	过程
皮蝇属	节肢动物属
字母表	文字
蛹	幼虫
肠风便血	通便
抗菌素	杀菌剂
细绳	绳子
蜜蜂花属	海盘车单子叶植物属
紧急出口	楼梯
耐风火柴	火柴
编织物	衣料
木番茄	灌木
乳猪	豚猪
掌羽海金沙	掌羽海金沙
褪色柳	清明柳
面包黑霉	根霉
授爵	状态
黑尾豫	滨鸟
空间	无定形
空间	位置
印第安语	自然语言
斯塔福郡狗	布尔得利亚
应付票据	期票
假麻黄碱	生物碱
活性炭	碳
大铁刀苏木	香桂
被污染	污染
端口	计算机电路
潮湿	潮湿
行囊	背囊
牙钻	钻头
醋剂	醋酸
头梳蚤属	跳蚤属
细胞增大	生长
降低	降低
毒性	定量
鲳鱼	真鲷
锂辉石	矿质
镀金涂层	涂层
烫过的衣服	衣服
马罗坎平纹皱	绉胶
连结环	建筑装饰
担保	资产
草叶花椒	产黄色木材的被子植物
瘿蜂科	节肢动物科
玛瑙纹饰陶器	陶器
领鹑	涉禽类
驱蚊草	洋绣球
紫色虎耳草	虎耳草属植物
毫微伏特	势能单位
船首三角帆	纵帆
高脚杯	杯子
蝗虫	短脚蝗
无反应性	静止
梾木	木材
回旋加速器	粒子加速器
润唇膏	化妆品
黑蝇蛇	野兽
部分	资产
河豚	愈颌目
农场	职场
英国热单位	能量单位
动脉瘤	心血管疾病
鹦鹉螺科	软体动物科
类醛	有机化合物
高山杜鹃花	灌木
刺尾鱼	鲈形亚目鱼
脚尖旋转	旋转
捕手面罩	面罩
捕手面罩	棒球器材
资助金	补贴
板球棒	板球设备
破损量	估计量
黏合剂	连结者
茶叶盒	马口铁器
循环费用帐户	赊购账
民间基础	基础
缓召	暂缓
互相连络	连结
核裂变	核反应
毛狐猴	狐猴
马拉的街车	敞篷两轮车
碳酸饱和	透过
大号	黄铜管乐
大号	低音乐器
熨衣板	黑板
突出	显著
盖板	覆盖物
阈函数	映射
生物量	燃料
1海里单位	长度度量
衰老	退化
印度历的2月	印度教历的月
绵蚜	蚜虫
达马拉兰瞎鼠	掘土的动物
氟硅酸盐	盐
衣服的胸襟	布质蒙皮
航空公司	运输公司
盾蚧	介壳虫
边石	边缘
间质性肺炎	呼吸疾病
高速档	齿轮机构
金鳍锯鳃石鲈	石鲈
自动操作	状态
叶甲科	节肢动物科
提高	增大
外鳃	鳃
锑	金属元素
燃油滤清器	过滤器
英寸	长度度量
外展作用	增量
主动防空	防空
鳞芽	块茎植物
方形	长方形
会议室	房间
牛脂	牛脂
巴卡果	浆果类
苯胺染料	染色剂
赌胜负	消遣
温度指数	衡量标准
温度指数	数值范围
关节痛	苦痛
航空器构架	骨架
两栖作战	军事行动
五分之一加仑	美国液体单位
香豌豆	藤本植物
鹳鸟	涉禽类
阿拉姆语文字	文字
餐桌	家具
反应素	免疫球蛋白E
白蛱蝶	蛱蝶
七叶树果实	籽
圣神降临周	季节
附表	单子
密环菌	伞菌
小凹陷	凹状
抛光轮	轮子
双腿盘旋	体操锻炼
钱包暗带	腰带
正割	三角函数
美洲环柄菇	环柄菇
冻干	脱水
冻干	结冰
二碘酪氨酸	碘化酪氨酸
销售总额	收入
成熟	成熟
咪达唑仑	苯并二嗪
疾病	有病
硝化作用	化学方法
津贴	报酬
光纤传输系统	通信设备
癌	皮肤癌
镇静状况	生理状态
蟋蟀属	节肢动物属
人类粪便	排泄物
评估	鉴定
公制重量单位	十进制单位
公制重量单位	集合单位
皱马鞍菌	马鞍菌
马尿花	水生植物
印度历的9月	印度教历的月
餐厅	饭馆
矮山茱萸	鸡足
锛子	利器
定向	移动路线
诺言	誓言
顾问	权威
杂物室	碗柜
宽松短衫	上身外套
巴林货币单位	货币单位
海鳟	河鳟
数字转换器	数据变换器
气管插管	导管
秧鸡之类	秧鸡
西方伏翼	蝙蝠
基础代谢速度	代谢率
复活节星期日	基督教会节日
氰	瓦斯
腹主动脉瘤	动脉瘤
蜂窝结构	骨架
阿普唑仑	苯并二嗪
调整记录	账目
牧牛马	骑乘马
橡皮擦子	用具
返老还童	生长
不动产	房地产
草地	院子
余割	三角函数
胭脂	伞菌
同质异晶	化合物
疣猴	狭鼻类的猿
加成反应	反应
测高计	高程计
募捐呼吁	请求
速发型变态反应	过敏性反应
软化	病理
杜父鱼	杜父鱼
猎獚	西班牙猎犬
澳洲茄	龙葵属植物
切割工具	工具
非难	拒绝
木瓦	建筑物料
轻易得来的钱	纯利润
微型出租汽车	微型轿车
微型出租汽车	计程车
黑桐油树	被子植物
纯虚数	复数
盔甲	防弹衣
溢出物	液体
银鸥	鸥
美洲驼	美洲驼
蜜蜂食料	混合物
裂谷热	流行性出血热
罪行	罪行
滤泡角化症	角质疣
高血压蛋白还原酶	蛋白酶
联盟	集团
橙树	柑橘属果树
半个世纪	阶段
表现	生物进程
个人支票	支票
四翅槐树	树
肝豆状核变性	遗传病
聚变	核反应
桶	英国容量单位
桶	美国液体单位
生长因子	蛋白质
矮灌木	灌木
神经纤维瘤病	遗传病
神经纤维瘤病	显性遗传病
分母	分母
绝对库伦	电量单位
麦基诺厚呢	衣料
奥尔类脐菇	伞菌
直闪石	闪石
碲化物	化合物
武装抢劫	盗窃
目前	目前
眼前房积血	出血
电脑部件	附件
密锥蕨	树蕨
虾蛄属	节肢动物属
焦虫病	动物病
密度计	仪表
面貌酷似的人	灵魂
父系	单亲遗传
炉角	隅
厄兰	电话计量单位
乙烯	瓦斯
乙烯	链烯
博物馆	贮藏室
放大率	比例
羰基	化学族
包涵体肌炎	肌炎
鸊鷉	鷿鷈
猫鼬	獴
玉螺科	软体动物科
纤维蛋白溶解	分解
排水沟	渠
富裕	富裕
数量	观念
沼泽土壤	泥土
资助	赠品
鸡尾酒会	酒馆
消声室	房间
值班时间	班次工作时间
轻布料的一种	衣料
贮藏费	费用
变性酒精	酒精
牧师会教堂	更常指大而气派的建筑
头虱病	虱病
气球炸弹	炸弹
方石英	矿质
失调	人格障碍
裂伤	撕掉
硫酸铜	硫酸盐
射线	矢量
残积土	泥土
硫酸钠	硫酸盐
紧身裤	衣服
引火合金	合金
羽节蕨属	蕨属
罗经柜	盒子
蜗牛	腹足纲软体动物
货币单位	单位
挡光板	口盖
污染物质	废物
吸附物质	吸附剂
撮	挤压
铅毒	疾病
豺狼	犬科动物
靛蓝	染色剂
液态	物质状态
在野党	政党
大蜡螟	螟蛾
向心加速度	加速度
救助	安全
伊蚊属	节肢动物属
解释者	辩护者
多米诺骨牌	硬块
衰弱	不胜任
齐墩果	安息香属植物
圆盘状物	圆形
小婆婆纳	婆婆纳属植物
冠军	高等地位
费奥索	麻醉药
性质	观念
锤子	手持工具
贫穷	财务状况
心力衰竭	心力衰竭
心力衰竭	突然发病
晚礼服衬衫	衬衫
现金	硬通货
缅甸猫	家猫
汞中毒	药品中毒
藿香属	海盘车单子叶植物属
斜角规	手持工具
纲蝽科	节肢动物科
出生率	率
煤气炉	取暖器
离散相	状态
复写纸	拷贝
流汗	新陈代谢
糙毛香豌豆	马豆草
纳入	新陈代谢
金银花	金银花
车身螺栓	螺栓
附着	组合
鹤假虱草	尤指豚草
水鸟	鸟类
平长凳	长椅
伐塞利亚花属	海盘车单子叶植物属
胃蝇科	节肢动物科
空气浮力	空气动力
眠尔通	抗焦虑药
氰尿酸	酸类
缠绕	转动
骨质营养不良	营养失调
银行取款单	支票
同翅类昆虫	虫子
纵火	燃烧
鲸虱属	节肢动物属
脊柱弯曲畸形	反常
氧过少	驱策力
降临节	季节
溢出量	估计量
涂抹剂	洗剂
指数式衰减	衰减
结构用铁	铁
胭脂红昆虫	介壳虫
兄弟	和尚
东部斑臭鼬	鸡貂
运牛车	货车
亨利	电感单位
演员休息室	房间
屁眼	肛门
赝品	拷贝
扩大	附加物
挂牌证券	单据
齿银出血	出血
粗碎屑岩	沉积岩
恐怖	恐怖
差	数
脑电描记器	医疗器械
切叶蜂科	节肢动物科
贵宾桌	饭桌
贫血症	血液病
营业收支预算	预算款项
南岛人	居民
雕刻品	雕塑
转木比赛	旋转
锚链筒	开口或小孔
铬酸铅	铬酸酯
羊驼毛外衣	衣料
胡椒藤	藤本植物
人造血	液体
下午三时左右	白昼
恐水病	单纯恐怖症
陈尸所	更常指大而气派的建筑
发汗药	药物
家蚕	蚕蛾
牛肝菌	菌类
热离子发射	辐射
高台滑雪	滑雪运动
尖吻海豚	宽吻海豚
瑞士法郎	法郎
截平锥面	截头体
野豚鼠	天竺鼠
孛艾大戟	大戟属植物
等面积投影	等积地图投影
红色石鱼	岩鱼
异化作用	语言处理
产量	估计量
凤尾蕨属	蕨属
槐叶苹	满江红
长隔木	长隔木属植物
近点月	月
木贼属	蕨属
小坚果	坚果
蜂王	虫子
锆	金属元素
赤道	椭圆形
炎症	症状
航空与航天飞行学工程师	技师
雨季	季节
观音竹	观音竹
澳白蚁科	节肢动物科
砖头	陶瓷
砖头	建筑物料
臼	容器
擦痛	触痛
面罩	捕手面罩
脱发	新陈代谢
脱发	脱毛
白鲻鱼	鲻
猿科动物	灵长类的动物
吊舱	隔间
古代罗马金币	硬币
块茎植物	连接或支撑部分
鹿花蕈	菌类
沼泽问荆	木贼属植物
枫糖尿症	遗传病
枫糖尿症	丙酮尿
非姆托米	公制长度单位
并发执行	执行指令
八进制数	数字
角撑板	支柱
胰腺炎	炎症
细胞缺失	细胞结构
婚姻关系	关系
异常的人	灵魂
迷你型贵宾犬	髦毛狗
点	圆盘状物
象牙质	动物材料
醇化	陈化
岩阳鱼	翻车鲀
无梗火焰草	红瓦松
矮牵牛	矮牵牛
寻常狼疮	狼疮
寻常狼疮	肺结核
准备资产	撤资
海关税	关税
喇叭状助听器	音响设备
化妆斗篷面具	斗篷
籽	植物结构
金钟	毛地黄属植物
镓	金属元素
香蒲黑穗病	黑穗病
硫氮杂苯	有机化合物
黑地毯圆皮蠹	地毯圆皮蠹
范围	范围
雷酸	酸类
身体洗液	洗液
黄疸卷柏	石松
叶脉	维管束
断言	宣布
飞龙科蜥蜴	鬣蜥属
领先	高等地位
拟西鲱	鱼肉
秋季夜盗蛾	毛虫
镶嵌细工	镶嵌
挖泥船	驳船
多发性脂肪瘤	病理
炮架	骨架
汽车炸弹	炸弹
湿疹	皮肤病
酪脂	甘油酯
鞋	覆盖物
薄雾	雾气
双硫丙氨酸	胺酸
落基山樱	矮灌木
牡蛎苗	牡蛎
干皱	萎缩
光电发射	辐射
驼丝锦	衣料
异硫氰酸酯	化学刺激物
测定	试验
银蛤科	软体动物科
浮动水雷	鱼雷
蝙蝠鱼	棘鳍目鱼
销售竞争	广告活动
锥鼻虫	食虫椿象
增强的结果	增长
极短的距离	无穷小量
美洲南蛇藤	藤本植物
零售商人	商人
鱼镖式计程仪	计程仪
笞刑	棍棒
平手	平局
商业数据处理	数据处理
第纳尔	巴林货币单位
恢复药	装置
营运资金	资产
表演时刻	时间点
紫葳科	海盘车单子叶植物科
醋酸基	酰基
菌褶	植物器官
非整倍性	反常
骆驼	偶蹄动物
隐睾病	反常
鱼尾葵	棕榈科植物
一万亿分之一	分数
累计额	纯利润
软焊料	焊料
布袋	口袋
神经形成	生长
餐巾纸	纸
夷平作用	腐蚀
贝壳	甲壳
螟蛾科	节肢动物科
财阀	工商业家
女演员	艺人
榛子	树
基准利率	利率
货币供应量1	货币供给
需要帮助	依赖
美洲花楸	马加木
降临节中第一个星期日	基督教会节日
新陈代谢	生物进程
猎浣熊的猎犬	猎狗
移动速度	率
氰亚铁酸盐	盐
沉淀素	抗体物质
镶嵌物	灌注器
驴子	马科动物
强心苷	类固醇
一点	无穷小量
淤血	生物进程
截肢术	手术
债务关系	委托关系
鱼饵	装置
野豆	藤本植物
前提	前提
指幅	长度度量
孢子异型	无性生殖
英国旧时铜币，相当于四分之一便士	硬币
礼拜三	平日
性感缺失病	障碍
晴空湍流	狂暴
生殖力障碍	不育
避孕药	装置
裂口疝	疝气
巴西棕	籽
避风港	避难所
蔷薇辉石	矿质
回退键	键
黯淡	半暗
放射性尘埃	灰尘
膜翅目昆虫	虫子
草盲蝽属	节肢动物属
豆象属	节肢动物属
珠蚌属	软体动物属
禁闭	监禁
纤维蛋白素原	凝血因子
电磁伏特	势能单位
钪	金属元素
干旱	干燥
一种雕刻品	设计
碘化甲状腺氨酸	氨基酸
圣体瞻仰台	容器
欧勃氏麻痹	麻痹症
方法论	法
一氧化碳中毒	药品中毒
狗的一种	猎犬
腺节	肥大
透明胶带	胶带
黑羊	绵羊
千年	教条
豹子	大猫
通行证	许可
宠物	野兽
面象虫	拟步行虫
天牛科的甲虫	甲虫
黄包车	敞篷两轮车
珠饰细工	装饰品
装配线	机械系统
语义关系	语言关系
劳损性骨折	骨折
跳豆	籽
索引	单子
放大	增大
天蚕蛾	衣蛾
耶稣受难节	基督教会节日
乳齿象	长鼻目的动物
聚光器	镜片
束缚	限制规定
红绿色盲	二色视
逆境	逆境
收入	经济获益
避难所	环境
被禁闭	隶属
贝克曼温度计	水银温度计
缺量	估计量
模子	拷贝
什一税	捐款
财路	资产
临时流动餐馆	饭馆
缺血性缺氧	氧过少
薄壳贻贝	蚌
阶级组织	集团
卫生	卫生
多面体	立方体
扇形棕榈	棕榈科植物
打断	迟延
德巴利腐霉	腐霉菌
背越式跳高	跳高
轴干	轮轴
臭氧病人	疾病
强力霉素	抗菌素
捕虫堇属植物	食虫植物
跟足	弯曲脚
大花凤眼蓝	水生植物
眼镜蛇瓶子草	瓶子草类
紫威藤	藤本植物
学生时代	阶段
长柄卵果蕨	山毛榉蕨
被委派者	灵魂
果蝇科	节肢动物科
泉水	水
毫安	电流强度
期票	期票
蛇咬中毒	药品中毒
营养共生	共栖
果蝇	双翅目昆虫
海湾战争综合症	综合症
运动场	状态
硬麻布	衣料
血管疾病	病理
抗血友病因子	凝血因子
指孔	开口或小孔
橄榄石	矿质
光滑漆树	盐肤木
书皮纸板	硬纸板
吸血蝙蝠	小蝙蝠
平方英里	面积单位
南亚语族	自然语言
折叠	改变形状
行李袋	松紧带袋子
柱顶部	结构
去矿质作用	病理
评判	行为
二氧化硫	二氧化物
二氧化硫	瓦斯
二氧化硫	污染物质
鲁特琴	弦乐器
盒式项链坠	框子
西枸杞	灌木
肌炎	炎症
斑蝶科	节肢动物科
发明	带消遣性的活动
耶稣纪元年	年
菊头蝠	叶鼻蝠
银叶茄	龙葵属植物
槐	树
再发汇票	汇票
球状多边形	多边形
消除污染	消除
布尔运算	运转
陶器	陶器
钥匙圈	箍
换衣车	手推车
圆睡鼠	睡鼠
靠垫	枕头
赌金	高风险投资
犹太教历的月	月份
鹿	反刍动物
棘层肥厚	皮肤病
牛奶厂	农场
衰减器	电力设备
蛋白酶	蛋白酶
预兆	指挥
獠牙狨	小绢猴
封闭曲线	曲线
空白支票簿	案卷
笼	笼子
白蝴蝶	蝴蝶
咖啡壶	锅
寄生蟹	十足类
冷冻混合物	混合物
铝土矿	矿质
小玩意儿	收藏品
松貂	貂
尺蛾科	节肢动物科
联盟	结为一体
正午	点钟
微巴	压力单位
河鳟	鳟
痒疹	皮肤病
马蝇	马蝇
黑丑	藤本植物
联动装置	机械系统
折叠式旅行袋	衣箱
行军装备	军需品
矛状耳蕨	霍莉蕨
维管束	维管组织
慢性淋巴细胞性白血病	白血病
托管基金	存款
过去状况	状态
骨髓炎	骨炎
鉴赏者	灵魂
四乘幂	数
避孕药	避孕药
驾驶舱盖	覆盖物
直边锉	锉刀
积极的人	灵魂
痢疾	症状
排卵	生物进程
应急物	排列
电感系数	系数
恐高症	单纯恐怖症
黑暗	黑暗
硬纸板	硬纸板
泥灰岩	变质岩
长针	织补线迹
腐生生物	生物
昆虫咬伤	负伤
正多边形	等角多边形
香烟屁股	烟蒂
豆荚	水果
十九世纪二十年代	十年间
黇鹿	鹿
多鳞耳蕨	鳞毛蕨
许多	无穷大量
庇护	联合
腮腺炎	传染病
缬草属	海盘车单子叶植物属
门闩	紧固件
空军军官学校	专门学校
机密性	隐蔽
病房	大楼
骨化	钙化作用
国有债务	欠款
晾衣厨	碗柜
中风	突然发病
弹药车	军用车辆
半年	阶段
侵染	满
组织排斥性	不相容性
好望角苣苔属	海盘车单子叶植物属
链条	联结物
礤床	厨房道具
零花钱	部分
四氯化碳	四氯化物
四氯化碳	溶剂
球螋属	节肢动物属
游览收费率	费率
传导型失语症	失语症
可记录光盘	光碟
肠扭转	病理
白杨木	木材
钴60	钴
电铃	钟
切开	切断
渔汛期	季节
棘鳍目鱼	硬骨鱼
支付	贸易
让受方	银行
集尘袋	袋子
瘿蚊	双翅目昆虫
沮丧	消沉
肠梗阻	便秘
酷暑	阶段
丁基橡胶	合成橡胶
杨裳夜蛾	后勋绶夜蛾
放射防护	保护
子囊果	子实体
大胆的冒险	项目
醋氨酚	镇痛药
竹节虫属	节肢动物属
阿布纳基语	阿尔贡金语
箱形风筝	风筝
鼓式打印机	行式打印机
连珠蕨属	蕨属
隐居	隔离
粉碎性骨折	骨折
长脚秧鸡	秧鸡之类
钇	金属元素
页岩	变质岩
竹节虫科昆虫	虫子
恺木枯萎病	枯萎病
毛玻璃	玻璃
酒精	醇
酒精	植物产品
疱疹	传染病
主人	成年人
重力常数	恒量
杀菌剂	化学药品
脓血症	败血症
细尘污染	空气污染
蜡画	颜料
鼻血	出血
要塞	哨所
非裔美国人	美国人
门框	门口
颅指数	比例
遗传基因	次序
翼	翼
林地香豌豆	广叶小黧豆
斑胸矶鹬	矶鹬
罢工津贴	薪金
统一的服装	军装
管道	管道
使腐坏	不稳固
类人猿	类人猿
彪悍强壮的妇女	妇女
厌氧菌	生物
雌狐	狐狸
大角斑羚	羚羊
老年人	年龄组
癫痫持续状态	癫痫症
浮肿	肿胀
瘠懒猴	狐猴
邮政汇票	汇票
抗痉挛的药物	药物
盾叶天竺葵	洋绣球
镤	金属元素
黑鸭	秧鸡
麝鼠毛皮	皮
沙螽科	节肢动物科
共性	正常状态
习惯	风俗
书写困难	学习能力障碍
金色合金	合金
菱形网	藩篱
控制塔	楼阁
巴氏合金	合金
门把手	圆形把手
帧缓冲	缓冲存储器
矾鞣革	皮革
美洲石蚕	石蚕属植物
视网膜脱离	视觉障碍
甘油醛	醛
剑伤	疤痕
谷种	种子储备
龈炎	炎症
阻挡	障碍
用氟化物处理	添加
血蚁	役奴蚁
火警铃	钟
农业劳动者	工人
利润分摊	部分
投币孔	狭槽
绷带	敷料
多尿症	肾病
横割锯	手锯
气管支气管炎	炎症
小数	真分数
一满杯	美国液体单位
聘礼	赠品
开胃酒	醇
观点	立场
床上便盆	容器
随机过程	模型
小狮子	美洲拟狮
能力	生理状态
认可	领受
家用电器	装置
丝绒花	灌木
防盗警报器	警报系统
小柱	柱形
格令	金衡制单位
格令	药剂单位
尿胆素	动物色素
起点	起始的时间
汽油	燃料
平底人字拖鞋	凉鞋
树蕨属	蕨属
灯蛾科	节肢动物科
䲟鱼	䲟鱼
澳大利亚㹴	狗的一种
气候	状态
西力欣	头孢霉菌素
宽松的衬衫	短上衣
褶皱	边饰
太赫	率
金斑鸻	鸻科鸟
小农	农业劳动者
碱性炉渣	矿渣
痉挛	突然迸发
龙须子	藤本植物
菱面体	六面体
菱面体	平行六面体
冷	症状
钟琴	钟琴
小口黑鲈	黑鲈
大型计算机	数字计算机
单位成本	花费
通行费	费
警报	信号
食用牛	牛
纽孔花束	饰物
升降扶梯	楼梯
海蛤蝓	裸鳃类动物
倒地铃	假苦瓜
精神创伤	心理状态
事实	真实性
西方国家	位置
薄软绸	衣料
相称	复本
被统治	权势
本垒	垒
新兵训练营	露营
缺点	不完美
俯卧式跳高	体操锻炼
建筑学	科学
高烧	热病
高烧	高热症
新闻节目	节目
鸟鹬	滨鸟
雪白树蟋	树蟋
阴道脱垂	疝气
刀子	利器
适用性	相关性
凯利蓝㹴	狗的一种
温度	基本量
誊写版印刷机	复印机
病征	根据
四旬节	基督教会节日
爬树蕨属	蕨属
软骨病	软化
欧洲美元	美元
欧洲美元	欧洲货币
堇青石	矿质
增强板材	装填物
闪光装置	电力设备
小旗	旗帜
和尚或尼姑的生活的小房间	房间
脊髓发育不全	缺陷
咽喉炎	炎症
蓝丽蝇	绿头苍蝇
分时技术	分享
发烧	症状
阿戴布	量干物的干量
邪恶	状态
网球肘	上髁炎
网球肘	腱炎
闰秒	秒钟
助理教授	老师
膨润土	黏土
一碘酪氨酸	碘化酪氨酸
分电器盖	封闭盖
制冰机	厨房用具
鱼胶硬膏	膏药
干草架	骨架
精美的小商品	货物
大蚊科	节肢动物科
肮脏	卫生条件
基里克斯陶杯	杯子
防擦装置	覆盖物
黄斑蜂	蜜蜂
森特纳	公制重量单位
石松	石松
经向承轴	轴承
妇女	成年人
缘蝽科	节肢动物科
结石病	病理
短额负蝗	蝗虫
欧防风属	伞形科
提花织物	衣料
补给	装满
帮助者	帮手
德州羽扇豆	羽扇豆属植物
鳞毛蕨科	蕨类植物
藤壶属	节肢动物属
黄褐天幕毛虫	毛虫
易受大众传播影响的群众	平民
带消遣性的活动	行为
灯笼	灯笼
鳞癣	遗传病
结核样型麻风	麻风病
翼	器官
萤科	节肢动物科
赏赐物	赠品
缟臭鼬	鸡貂
底柱	支撑
百万行	印刷单位
达恰	郊区住宅
牙周溃坏	脓漏
北方瓣蹼鹬	矶鹞之类
粉刺	皮肤病
粉刺	盆腔炎性疾病
阉割忧虑	焦虑
半便士	硬币
内角	角
幻听	幻觉
红色恐慌	恐慌
哥伦布节	法定假日
邮资	费用
缺席	需要
苹果压榨机	研磨机
温床	苗床
硫胺素焦磷酸酯	辅酶
甘油明胶封片剂	甘油酯
头皮屑	蛇皮藓
租用汽车	租物
一角银币	硬币
肩胛骨	鸟类羽毛
板材	结构
牛肉	肉食
浆糊	混合物
西阿拉黄檀	树
颖片	苞片
上层酵母	啤酒酵母
煤气设备	零件
血胸	充血
喇叭舌属	海盘车单子叶植物属
莱尼蕨科	蕨类植物
谍犬	猎狗
妄想痴呆	精神分裂症
礼拜一	平日
军械库	火力装备
钙通道阻滞剂	药物
错误	问题
鸡虱	刺人虱
马慢性肺气肿	动物病
黄铜	金子
同步运作	运转
光蝉	飞虱
布鲁塞尔花边	透孔织品
肿块	肿胀
愈创木	木材
中和反应	反应
环柄菇	伞菌
终身监禁	刑期
澡堂	库房
原发性痛经	痛经
好氧性生物	生物
甘蔗黄斑病	菌类
旱蕨属	蕨属
苯齐巨林	苯齐巨林
气化过程	化学方法
水鼠	臼齿动物
荒漠化	地质活动
维也纳香肠	香肠
自动链梯	楼梯
急速增加	人口增长
圆锥形角膜	散光
山薮羚	羚羊
白纹铗蝶	蛱蝶
越盾	越南货币单位
伞	雨伞
鲻鱼	鲈形亚目鱼
文字字符	字形
长叶薄荷	香蜂草
隐头花序	合心皮果
片麻岩	变质岩
抗震剂	化合物
燕鸥	鸥
警棍	棍棒
松墨天牛	显赫天牛
短腿马	挽马
边缘	圆形
边缘	边界
护踝	支撑
林鼠	鼠
蛱蝶	蝴蝶
扰动	骚动
非同时性	临时相关
贮木场	职场
活动的程序	应用程序
水恐怖	单纯恐怖症
镇静剂	治疗法
武士	灵魂
恶心	症状
隔离	分离
黑热病	热带脾大
缄口钱	贿赂品
衣囊鼠	囊鼠
炭疽	脾脱疽
死亡丧钟	钟
目录	书籍
癸二酸	羧酸
降低	改变
笼	陷阱
钻钢	碳钢
旁中心暗点	盲点
非法进入	盗窃行为
总统纪念日	法定假日
红斑狼疮	狼疮
红斑狼疮	自身免疫病
重聚	联合
棕榈猫	麝猫
睡眠恐怖	单纯恐怖症
土耳其式长袍	连衣裙
血脂蛋白过多	代谢异常
